Ref No,Vendor,POL,POD,Mode,Incoterms,Cartons,Invoice Value,Gross Weight,ETA,Actual Arrival
VNNL-MF-0001,Shenzhen Precision Parts,VN,NL,Truck,FOB,384,"34,408",16707,06/08/2026,06/08/2026
CNDE-MF-0002,Shenzhen Precision Parts,CN,DE,FCL,FOB,574,"226,570",2016,03/10/2026,
JPUS-MF-0003,Osaka Bearings,JP,US,Truck,FOB,600,"211,974",1704,20/08/2026,18/08/2026
CNDE-MF-0004,Hanoi Textile Group,CN,DE,Air,FOB,563,"65,757",18787,29/09/2026,
VNNL-MF-0005,Osaka Bearings,VN,NL,FCL,CIF,109,"291,175",2137,22/07/2026,01/08/2026
JPUS-MF-0006,Osaka Bearings,JP,US,Truck,CIF,805,"168,703",15336,22/09/2026,21/09/2026
JPUS-MF-0007,Shenzhen Precision Parts,JP,US,Truck,FOB,93,"161,417",17289,04/03/2026,04/03/2026
VNNL-MF-0008,Osaka Bearings,VN,NL,FCL,FOB,534,"223,216",5485,30/04/2026,29/04/2026
VNNL-MF-0009,Shenzhen Precision Parts,VN,NL,Truck,FOB,792,"296,592",18856,06/08/2026,05/08/2026
VNNL-MF-0010,Hanoi Textile Group,VN,NL,Truck,CIF,80,"53,071",8925,01/05/2026,29/04/2026
VNNL-MF-0011,Hanoi Textile Group,VN,NL,Truck,DAP,707,"237,644",9405,19/09/2026,
JPUS-MF-0012,Shenzhen Precision Parts,JP,US,Air,CIF,182,"65,391",16257,08/04/2026,07/04/2026
CNDE-MF-0013,Osaka Bearings,CN,DE,FCL,CIF,410,"264,312",2720,03/07/2026,03/07/2026
CNDE-MF-0014,Shenzhen Precision Parts,CN,DE,Air,DAP,295,"221,734",11836,07/03/2026,06/03/2026
JPUS-MF-0015,Shenzhen Precision Parts,JP,US,FCL,FOB,247,"126,335",475,11/04/2026,11/04/2026
VNNL-MF-0016,Shenzhen Precision Parts,VN,NL,Air,DAP,388,"171,044",4192,21/07/2026,21/07/2026
JPUS-MF-0017,Osaka Bearings,JP,US,Truck,FOB,477,"297,219",12937,01/02/2026,30/01/2026
VNNL-MF-0018,Osaka Bearings,VN,NL,Air,FOB,205,"39,309",6920,01/04/2026,31/03/2026
VNNL-MF-0019,Shenzhen Precision Parts,VN,NL,FCL,FOB,590,"83,306",17663,31/07/2026,10/08/2026
CNDE-MF-0020,Shenzhen Precision Parts,CN,DE,Truck,CIF,162,"136,255",11463,19/04/2026,19/04/2026
JPUS-MF-0021,Hanoi Textile Group,JP,US,Air,CIF,505,"167,500",2894,19/04/2026,19/04/2026
CNDE-MF-0022,Hanoi Textile Group,CN,DE,Air,DAP,175,"274,707",836,31/08/2026,29/08/2026
CNDE-MF-0023,Osaka Bearings,CN,DE,FCL,DAP,315,"51,715",8636,25/01/2026,23/01/2026
JPUS-MF-0024,Shenzhen Precision Parts,JP,US,Truck,DAP,807,"267,558",10882,18/04/2026,17/04/2026
JPUS-MF-0025,Shenzhen Precision Parts,JP,US,Air,DAP,832,"122,876",6630,30/06/2026,30/06/2026
JPUS-MF-0026,Shenzhen Precision Parts,JP,US,Air,CIF,275,"105,525",19909,12/02/2026,12/02/2026
VNNL-MF-0027,Hanoi Textile Group,VN,NL,Air,FOB,235,"57,559",7513,08/03/2026,06/03/2026
VNNL-MF-0028,Osaka Bearings,VN,NL,Truck,FOB,500,"184,358",21154,14/07/2026,13/07/2026
CNDE-MF-0029,Shenzhen Precision Parts,CN,DE,Air,FOB,454,"178,334",2922,22/08/2026,20/08/2026
JPUS-MF-0030,Shenzhen Precision Parts,JP,US,Truck,FOB,184,"70,604",982,03/04/2026,01/04/2026
CNDE-MF-0031,Osaka Bearings,CN,DE,Truck,CIF,683,"187,714",5188,26/02/2026,26/02/2026
JPUS-MF-0032,Osaka Bearings,JP,US,Truck,FOB,549,"77,007",14295,16/08/2026,29/08/2026
CNDE-MF-0033,Hanoi Textile Group,CN,DE,Truck,FOB,792,"174,912",8578,06/07/2026,10/07/2026
JPUS-MF-0034,Osaka Bearings,JP,US,Air,CIF,688,"274,931",13863,22/03/2026,22/03/2026
JPUS-MF-0035,Osaka Bearings,JP,US,FCL,CIF,805,"100,001",20021,17/08/2026,15/08/2026
CNDE-MF-0036,Osaka Bearings,CN,DE,Truck,FOB,579,"36,377",10761,07/08/2026,15/08/2026
JPUS-MF-0037,Shenzhen Precision Parts,JP,US,Truck,FOB,264,"104,299",9154,30/01/2026,29/01/2026
CNDE-MF-0038,Shenzhen Precision Parts,CN,DE,FCL,CIF,343,"269,055",19941,02/09/2026,31/08/2026
JPUS-MF-0039,Osaka Bearings,JP,US,Truck,CIF,529,"133,842",17224,12/07/2026,11/07/2026
VNNL-MF-0040,Hanoi Textile Group,VN,NL,FCL,CIF,462,"169,664",2457,11/07/2026,11/07/2026
JPUS-MF-0041,Osaka Bearings,JP,US,Air,FOB,805,"84,974",21164,21/06/2026,21/06/2026
JPUS-MF-0042,Hanoi Textile Group,JP,US,FCL,DAP,106,"212,801",16046,18/04/2026,21/04/2026
BAD-0,Unknown Vendor,,DE,FCL,FOB,N/A,n/a,,not a date,
BAD-1,Unknown Vendor,,DE,FCL,FOB,N/A,n/a,,not a date,
BAD-2,Unknown Vendor,,DE,FCL,FOB,N/A,n/a,,not a date,
