Ref No,Vendor,POL,POD,Mode,Incoterms,Cartons,Invoice Value,Gross Weight,ETA,Actual Arrival
DEFR-MF-0001,Shenzhen Precision Parts,DE,FR,Truck,FOB,384,"34,408",16707,06/08/2026,06/08/2026
TWUS-MF-0002,Shenzhen Precision Parts,TW,US,FCL,FOB,574,"226,570",2016,03/10/2026,
TWUS-MF-0003,Shenzhen Precision Parts,TW,US,Truck,DAP,416,"29,999",7324,30/06/2026,28/06/2026
TWUS-MF-0004,Osaka Bearings,TW,US,FCL,DAP,325,"297,736",6002,15/08/2026,15/08/2026
TWUS-MF-0005,Osaka Bearings,TW,US,FCL,DAP,71,"111,981",16346,18/07/2026,16/07/2026
DEFR-MF-0006,Hanoi Textile Group,DE,FR,Air,FOB,823,"98,249",8078,15/05/2026,14/05/2026
TWUS-MF-0007,Osaka Bearings,TW,US,Air,CIF,633,"42,378",3948,22/05/2026,21/05/2026
DEFR-MF-0008,Hanoi Textile Group,DE,FR,Air,FOB,694,"44,695",18367,30/07/2026,30/07/2026
DEFR-MF-0009,Hanoi Textile Group,DE,FR,Truck,CIF,80,"53,071",8925,01/05/2026,29/04/2026
DEFR-MF-0010,Hanoi Textile Group,DE,FR,Truck,DAP,707,"237,644",9405,19/09/2026,
DEFR-MF-0011,Hanoi Textile Group,DE,FR,FCL,DAP,129,"262,837",2011,28/04/2026,06/05/2026
TWUS-MF-0012,Hanoi Textile Group,TW,US,Air,CIF,92,"91,223",14798,28/05/2026,01/06/2026
DEFR-MF-0013,Osaka Bearings,DE,FR,Air,DAP,435,"192,099",12546,02/06/2026,01/06/2026
TWUS-MF-0014,Shenzhen Precision Parts,TW,US,Truck,FOB,22,"258,260",19384,06/08/2026,09/08/2026
TWUS-MF-0015,Hanoi Textile Group,TW,US,Truck,CIF,634,"171,044",4192,10/06/2026,10/06/2026
TWUS-MF-0016,Osaka Bearings,TW,US,Air,CIF,418,"210,632",3472,03/03/2026,01/03/2026
DEFR-MF-0017,Shenzhen Precision Parts,DE,FR,Air,FOB,122,"182,286",19764,31/03/2026,02/04/2026
TWUS-MF-0018,Osaka Bearings,TW,US,FCL,CIF,638,"17,369",2384,31/08/2026,03/09/2026
TWUS-MF-0019,Hanoi Textile Group,TW,US,Truck,CIF,495,"68,404",3859,13/04/2026,18/04/2026
DEFR-MF-0020,Shenzhen Precision Parts,DE,FR,FCL,FOB,777,"183,639",8755,26/02/2026,25/02/2026
DEFR-MF-0021,Osaka Bearings,DE,FR,Air,FOB,716,"288,778",966,01/08/2026,01/08/2026
DEFR-MF-0022,Osaka Bearings,DE,FR,Air,FOB,374,"120,807",17531,06/09/2026,05/09/2026
DEFR-MF-0023,Shenzhen Precision Parts,DE,FR,Air,DAP,832,"122,876",6630,30/06/2026,30/06/2026
DEFR-MF-0024,Hanoi Textile Group,DE,FR,Air,CIF,208,"184,502",14734,23/04/2026,23/04/2026
DEFR-MF-0025,Shenzhen Precision Parts,DE,FR,Air,FOB,355,"111,150",15895,19/04/2026,21/04/2026
TWUS-MF-0026,Osaka Bearings,TW,US,FCL,DAP,132,"207,704",6611,19/02/2026,18/02/2026
DEFR-MF-0027,Hanoi Textile Group,DE,FR,FCL,DAP,415,"246,829",13232,23/07/2026,21/07/2026
TWUS-MF-0028,Shenzhen Precision Parts,TW,US,FCL,DAP,486,"80,637",20120,02/08/2026,05/08/2026
DEFR-MF-0029,Shenzhen Precision Parts,DE,FR,FCL,FOB,828,"57,882",17335,26/04/2026,05/05/2026
TWUS-MF-0030,Shenzhen Precision Parts,TW,US,FCL,CIF,227,"157,598",16502,14/03/2026,14/03/2026
TWUS-MF-0031,Shenzhen Precision Parts,TW,US,FCL,DAP,372,"244,208",21787,09/05/2026,08/05/2026
DEFR-MF-0032,Osaka Bearings,DE,FR,Truck,FOB,460,"100,001",20021,08/02/2026,11/02/2026
TWUS-MF-0033,Osaka Bearings,TW,US,Truck,FOB,579,"36,377",10761,07/08/2026,15/08/2026
DEFR-MF-0034,Shenzhen Precision Parts,DE,FR,FCL,CIF,53,"55,246",16716,29/08/2026,29/08/2026
DEFR-MF-0035,Hanoi Textile Group,DE,FR,Air,DAP,527,"272,520",6614,08/10/2026,
DEFR-MF-0036,Osaka Bearings,DE,FR,FCL,DAP,545,"140,101",18414,05/03/2026,04/03/2026
TWUS-MF-0037,Hanoi Textile Group,TW,US,Air,CIF,84,"130,164",14115,07/03/2026,09/03/2026
TWUS-MF-0038,Shenzhen Precision Parts,TW,US,Truck,DAP,686,"195,985",4765,06/07/2026,06/07/2026
BAD-0,Unknown Vendor,,DE,FCL,FOB,N/A,n/a,,not a date,
BAD-1,Unknown Vendor,,DE,FCL,FOB,N/A,n/a,,not a date,
